symptom1,symptom2,symptom3,symptom4,OTC Medicine
Headache,Muscle pain,Insomnia,Diarrhea,Bismuth subsalicylate
Muscle pain,Allergic rash,Cough,Toothache,Calamine lotion
Acid reflux,Cough,Insomnia,Menstrual cramps,Melatonin
Diarrhea,Dry cough,Menstrual cramps,Toothache,Probiotic
Acid reflux,Heartburn,Hangover,Toothache,Antacid (Rolaids)
Dry skin,Dry cough,Allergic rash,Runny nose,Aloe vera gel
Hangover,Runny nose,Heartburn,Cough,Ginger supplements
Insomnia,Muscle pain,Fever,Diarrhea,Probiotic
Insomnia,Sinus pressure,Common cold,Fever,Valerian root
Diarrhea,Menstrual cramps,Runny nose,Common cold,Nasal spray (Flonase)
Menstrual cramps,Nausea,Hay fever,Insomnia,Loratadine
Insomnia,Common cold,Runny nose,Cough,Pseudoephedrine
Acid reflux,Insomnia,Hangover,Sinus pressure,Valerian root
Heartburn,Diarrhea,Cough,Insomnia,Bismuth subsalicylate
Hangover,Acid reflux,Cough,Fever,Aspirin
Dizziness,Toothache,Sinus pressure,Hangover,Ibuprofen
Insomnia,Dry skin,Nausea,Allergic rash,Loperamide
Nausea,Sinus pressure,Insomnia,Acid reflux,Valerian root
Heartburn,Allergic rash,Fever,Acid reflux,Calamine lotion
Acid reflux,Headache,Heartburn,Runny nose,Proton Pump Inhibitor (Omeprazole)
Common cold,Heartburn,Acid reflux,Hangover,Aspirin
Acid reflux,Cough,Hay fever,Runny nose,Antihistamine (Claritin)
Hay fever,Allergic rash,Menstrual cramps,Runny nose,Hydrocortisone cream
Headache,Toothache,Dry skin,Common cold,Hydrocortisone cream
Runny nose,Muscle pain,Hangover,Nausea,Dimenhydrinate
Insomnia,Menstrual cramps,Heartburn,Sinus pressure,Proton Pump Inhibitor (Omeprazole)
Allergic rash,Insomnia,Headache,Hay fever,Valerian root
Sinus pressure,Headache,Muscle pain,Dizziness,Cold-EEZE
Runny nose,Menstrual cramps,Muscle pain,Diarrhea,Paracetamol
Hangover,Toothache,Dry cough,Muscle pain,Guaifenesin
Heartburn,Sinus pressure,Diarrhea,Toothache,Loperamide
Sinus pressure,Dry skin,Headache,Fever,Ibuprofen
Dry skin,Hay fever,Acid reflux,Nausea,Loratadine
Dry cough,Runny nose,Muscle pain,Hay fever,Dextromethorphan
Fever,Common cold,Dry cough,Hay fever,Electrolyte solution (Pedialyte)
Acid reflux,Headache,Runny nose,Sinus pressure,Ibuprofen
Dry skin,Hangover,Insomnia,Cough,Hydrocortisone cream
Headache,Hangover,Toothache,Muscle pain,Ginger supplements
Sinus pressure,Insomnia,Headache,Muscle pain,Cold-EEZE
Cough,Acid reflux,Headache,Diarrhea,Bismuth subsalicylate
Hay fever,Dry cough,Runny nose,Diarrhea,Pseudoephedrine
Heartburn,Runny nose,Diarrhea,Insomnia,Antacid (Rolaids)
Common cold,Insomnia,Fever,Diarrhea,Guaifenesin
Menstrual cramps,Common cold,Headache,Muscle pain,Cold-EEZE
Nausea,Insomnia,Sinus pressure,Acid reflux,Valerian root
Menstrual cramps,Toothache,Dry skin,Headache,Ibuprofen
Toothache,Insomnia,Menstrual cramps,Diarrhea,Electrolyte solution (Pedialyte)
Common cold,Runny nose,Diarrhea,Muscle pain,Aspirin
Dizziness,Headache,Nausea,Common cold,Dimenhydrinate
Diarrhea,Hangover,Menstrual cramps,Sinus pressure,Paracetamol
Heartburn,Toothache,Headache,Common cold,Antacid (Tums)
Toothache,Cough,Insomnia,Diarrhea,Diphenhydramine
Dry cough,Acid reflux,Cough,Runny nose,Antacid (Rolaids)
Common cold,Menstrual cramps,Diarrhea,Dizziness,Guaifenesin
Toothache,Insomnia,Nausea,Muscle pain,Valerian root
Dry cough,Acid reflux,Dry skin,Cough,Cold-EEZE
Dry skin,Fever,Toothache,Allergic rash,Orajel
Menstrual cramps,Runny nose,Dry cough,Sinus pressure,Pseudoephedrine
Dry skin,Toothache,Sinus pressure,Insomnia,Paracetamol
Insomnia,Menstrual cramps,Dizziness,Common cold,Melatonin
Common cold,Nausea,Hay fever,Dry skin,Aloe vera gel
Dry cough,Allergic rash,Runny nose,Sinus pressure,Dextromethorphan
Headache,Insomnia,Heartburn,Cough,Valerian root
Allergic rash,Dizziness,Nausea,Dry skin,Loperamide
Muscle pain,Nausea,Diarrhea,Fever,Ginger supplements
Allergic rash,Cough,Toothache,Headache,Cold-EEZE
Hangover,Nausea,Insomnia,Common cold,Melatonin
Runny nose,Fever,Sinus pressure,Dizziness,Cold-EEZE
Runny nose,Common cold,Hangover,Menstrual cramps,Ibuprofen
Nausea,Fever,Acid reflux,Dizziness,Dimenhydrinate
Fever,Acid reflux,Common cold,Cough,Pseudoephedrine
Hangover,Insomnia,Diarrhea,Heartburn,Antacid (Rolaids)
Insomnia,Muscle pain,Dry skin,Runny nose,Pseudoephedrine
Hangover,Muscle pain,Menstrual cramps,Toothache,Heating pad
Dizziness,Muscle pain,Hay fever,Fever,Antihistamine (Claritin)
Hangover,Common cold,Dry cough,Fever,Ibuprofen
Allergic rash,Nausea,Dizziness,Fever,Ginger supplements
Toothache,Dry cough,Common cold,Dry skin,Orajel
Nausea,Allergic rash,Muscle pain,Diarrhea,Antihistamine (Claritin)
Dry cough,Cough,Sinus pressure,Hangover,Guaifenesin
Cough,Fever,Menstrual cramps,Heartburn,Bismuth subsalicylate
Hangover,Menstrual cramps,Dry cough,Runny nose,Guaifenesin
Dry cough,Dry skin,Muscle pain,Sinus pressure,Hydrocortisone cream
Dry cough,Insomnia,Hay fever,Heartburn,Dextromethorphan
Diarrhea,Menstrual cramps,Fever,Headache,Paracetamol
Hay fever,Menstrual cramps,Runny nose,Diarrhea,Aspirin
Heartburn,Hay fever,Cough,Common cold,Pseudoephedrine
Muscle pain,Sinus pressure,Acid reflux,Runny nose,Ibuprofen
Hangover,Dizziness,Cough,Acid reflux,Ginkgo biloba
Headache,Cough,Nausea,Acid reflux,Pseudoephedrine
Acid reflux,Toothache,Heartburn,Common cold,Guaifenesin
Muscle pain,Dizziness,Allergic rash,Fever,Paracetamol
Toothache,Allergic rash,Cough,Dry skin,Ibuprofen
Sinus pressure,Common cold,Dry skin,Dry cough,Guaifenesin
Heartburn,Common cold,Hay fever,Insomnia,Valerian root
Menstrual cramps,Nausea,Fever,Toothache,Heating pad
Diarrhea,Allergic rash,Hangover,Headache,Hydrocortisone cream
Allergic rash,Dizziness,Fever,Cough,Paracetamol
Muscle pain,Dry cough,Dizziness,Nausea,Paracetamol
Sinus pressure,Menstrual cramps,Common cold,Cough,Ibuprofen
Menstrual cramps,Cough,Runny nose,Dry cough,Aspirin
Heartburn,Diarrhea,Dry cough,Insomnia,Antacid (Rolaids)
Menstrual cramps,Cough,Headache,Nausea,Cold-EEZE
Headache,Hay fever,Sinus pressure,Cough,Cold-EEZE
Nausea,Hangover,Dry skin,Allergic rash,Electrolyte solution (Pedialyte)
Hangover,Headache,Runny nose,Heartburn,Nasal spray (Flonase)
Sinus pressure,Dry skin,Diarrhea,Dry cough,Guaifenesin
Sinus pressure,Headache,Menstrual cramps,Dizziness,Ginger supplements
Nausea,Toothache,Cough,Menstrual cramps,Ibuprofen
Insomnia,Hangover,Dry skin,Common cold,Cold-EEZE
Hay fever,Common cold,Fever,Acid reflux,Electrolyte solution (Pedialyte)
Insomnia,Common cold,Toothache,Heartburn,Paracetamol
Hangover,Sinus pressure,Dry cough,Acid reflux,Saline nasal spray
Hay fever,Diarrhea,Allergic rash,Toothache,Paracetamol
Hangover,Dry cough,Common cold,Menstrual cramps,Honey
Dizziness,Nausea,Common cold,Fever,Ibuprofen
Hay fever,Nausea,Allergic rash,Insomnia,Antihistamine (Benadryl)
Hay fever,Toothache,Acid reflux,Diarrhea,Proton Pump Inhibitor (Omeprazole)
Sinus pressure,Headache,Acid reflux,Dry cough,Proton Pump Inhibitor (Omeprazole)
Toothache,Sinus pressure,Hay fever,Hangover,Antihistamine (Benadryl)
Menstrual cramps,Sinus pressure,Insomnia,Nausea,Paracetamol
Allergic rash,Toothache,Dry cough,Menstrual cramps,Dextromethorphan
Dry cough,Sinus pressure,Common cold,Allergic rash,Calamine lotion
Insomnia,Hay fever,Runny nose,Common cold,Antihistamine (Claritin)
Sinus pressure,Allergic rash,Headache,Dry skin,Hydrocortisone cream
Runny nose,Headache,Toothache,Hangover,Electrolyte solution (Pedialyte)
Toothache,Nausea,Allergic rash,Dry cough,Honey
Menstrual cramps,Dry skin,Allergic rash,Nausea,Ibuprofen
Heartburn,Runny nose,Acid reflux,Toothache,Ibuprofen
Muscle pain,Runny nose,Cough,Nausea,Electrolyte solution (Pedialyte)
Diarrhea,Sinus pressure,Common cold,Acid reflux,Cold-EEZE
Nausea,Dry cough,Menstrual cramps,Dry skin,Cold-EEZE
Sinus pressure,Acid reflux,Dry cough,Dry skin,Cold-EEZE
Fever,Dry cough,Muscle pain,Dry skin,Honey
Heartburn,Insomnia,Sinus pressure,Hay fever,Ibuprofen
Cough,Muscle pain,Sinus pressure,Insomnia,Cold-EEZE
Muscle pain,Dry cough,Acid reflux,Common cold,Antacid (Tums)
Runny nose,Muscle pain,Dry cough,Headache,Guaifenesin
Dry cough,Toothache,Hangover,Sinus pressure,Ginger supplements
Nausea,Acid reflux,Heartburn,Dry skin,Moisturizing lotion
Acid reflux,Headache,Muscle pain,Dry cough,Bismuth subsalicylate
Nausea,Hangover,Hay fever,Dry cough,Guaifenesin
Cough,Common cold,Headache,Runny nose,Nasal spray (Flonase)
Headache,Toothache,Diarrhea,Sinus pressure,Cold-EEZE
Cough,Muscle pain,Dry skin,Dizziness,Cold-EEZE
Acid reflux,Muscle pain,Menstrual cramps,Toothache,Cold-EEZE
Cough,Menstrual cramps,Fever,Headache,Dextromethorphan
Insomnia,Diarrhea,Runny nose,Dry cough,Lavender oil
Muscle pain,Diarrhea,Fever,Heartburn,Antacid (Rolaids)
Runny nose,Dry cough,Insomnia,Menstrual cramps,Aspirin
Muscle pain,Toothache,Fever,Nausea,Aspirin
Acid reflux,Dry cough,Menstrual cramps,Sinus pressure,Antacid (Tums)
Heartburn,Fever,Sinus pressure,Cough,Proton Pump Inhibitor (Omeprazole)
Headache,Allergic rash,Sinus pressure,Dizziness,Pseudoephedrine
Dry skin,Cough,Menstrual cramps,Headache,Petroleum jelly
Runny nose,Insomnia,Cough,Allergic rash,Pseudoephedrine
Toothache,Headache,Nausea,Dry cough,Cold-EEZE
Runny nose,Sinus pressure,Diarrhea,Dry cough,Bismuth subsalicylate
Heartburn,Nausea,Headache,Common cold,Antacid (Tums)
Hay fever,Fever,Heartburn,Acid reflux,Loratadine
Menstrual cramps,Dizziness,Fever,Dry skin,Ginger supplements
Hangover,Insomnia,Diarrhea,Toothache,Aspirin
Nausea,Hangover,Dizziness,Muscle pain,Ginger supplements
Dizziness,Nausea,Dry cough,Muscle pain,Electrolyte solution (Pedialyte)
Muscle pain,Fever,Runny nose,Toothache,Ibuprofen
Hay fever,Fever,Common cold,Dizziness,Loratadine
Dry skin,Nausea,Fever,Acid reflux,Ibuprofen
Common cold,Heartburn,Headache,Insomnia,Lavender oil
Cough,Hangover,Acid reflux,Diarrhea,Electrolyte solution (Pedialyte)
Hay fever,Heartburn,Menstrual cramps,Insomnia,Diphenhydramine
Dry cough,Menstrual cramps,Allergic rash,Dizziness,Hydrocortisone cream
Menstrual cramps,Headache,Common cold,Allergic rash,Heating pad
Menstrual cramps,Dizziness,Allergic rash,Insomnia,Calamine lotion
Headache,Hangover,Dry cough,Muscle pain,Dextromethorphan
Allergic rash,Diarrhea,Fever,Dry cough,Hydrocortisone cream
Runny nose,Insomnia,Heartburn,Dizziness,Electrolyte solution (Pedialyte)
Allergic rash,Menstrual cramps,Common cold,Muscle pain,Ibuprofen
Headache,Sinus pressure,Hangover,Dry skin,Ibuprofen
Dizziness,Runny nose,Dry cough,Muscle pain,Pseudoephedrine
Hangover,Dizziness,Cough,Common cold,Ginger supplements
Runny nose,Common cold,Hay fever,Cough,Paracetamol
Dry skin,Hay fever,Heartburn,Runny nose,Hydrocortisone cream
Hangover,Dry skin,Acid reflux,Runny nose,Pseudoephedrine
Allergic rash,Dry skin,Dry cough,Fever,Calamine lotion
Dizziness,Fever,Hangover,Allergic rash,Aspirin
Acid reflux,Diarrhea,Runny nose,Hay fever,Cold-EEZE
Allergic rash,Diarrhea,Dry skin,Nausea,Petroleum jelly
Hangover,Nausea,Runny nose,Heartburn,Bismuth subsalicylate
Headache,Common cold,Fever,Hay fever,Paracetamol
Dizziness,Diarrhea,Toothache,Acid reflux,Antacid (Tums)
Cough,Allergic rash,Muscle pain,Dry cough,Pseudoephedrine
Hay fever,Insomnia,Hangover,Acid reflux,Electrolyte solution (Pedialyte)
Acid reflux,Nausea,Heartburn,Sinus pressure,Dimenhydrinate
Menstrual cramps,Muscle pain,Allergic rash,Common cold,Hydrocortisone cream
Toothache,Insomnia,Menstrual cramps,Dry skin,Paracetamol
Cough,Dizziness,Nausea,Common cold,Ginger supplements
Toothache,Hangover,Fever,Common cold,Orajel
Heartburn,Dizziness,Allergic rash,Insomnia,Electrolyte solution (Pedialyte)
Dry skin,Dizziness,Headache,Sinus pressure,Paracetamol
Sinus pressure,Hangover,Fever,Dry cough,Pseudoephedrine
Insomnia,Dry skin,Diarrhea,Heartburn,Electrolyte solution (Pedialyte)
Toothache,Heartburn,Diarrhea,Muscle pain,Proton Pump Inhibitor (Omeprazole)
Nausea,Sinus pressure,Insomnia,Menstrual cramps,Lavender oil
Hay fever,Heartburn,Dry skin,Hangover,Proton Pump Inhibitor (Omeprazole)
Fever,Dizziness,Dry cough,Hangover,Cold-EEZE
Menstrual cramps,Heartburn,Sinus pressure,Runny nose,Loratadine
Menstrual cramps,Dry cough,Toothache,Dizziness,Ginger supplements
Sinus pressure,Diarrhea,Nausea,Toothache,Probiotic
Muscle pain,Fever,Menstrual cramps,Allergic rash,Hydrocortisone cream
Cough,Acid reflux,Nausea,Dry skin,Bismuth subsalicylate
Dry skin,Fever,Headache,Dizziness,Aloe vera gel
Sinus pressure,Hay fever,Diarrhea,Muscle pain,Ibuprofen
Insomnia,Acid reflux,Fever,Hay fever,Melatonin
Sinus pressure,Hangover,Menstrual cramps,Runny nose,Paracetamol
Insomnia,Common cold,Fever,Allergic rash,Hydrocortisone cream
Nausea,Sinus pressure,Acid reflux,Headache,Pseudoephedrine
Dizziness,Insomnia,Hangover,Allergic rash,Paracetamol
Sinus pressure,Acid reflux,Hangover,Common cold,Electrolyte solution (Pedialyte)
Muscle pain,Toothache,Dry cough,Cough,Guaifenesin
Hay fever,Toothache,Heartburn,Dizziness,Loratadine
Toothache,Common cold,Dry cough,Muscle pain,Cold-EEZE
Toothache,Sinus pressure,Dizziness,Hangover,Saline nasal spray
Allergic rash,Cough,Nausea,Common cold,Ginger supplements
Muscle pain,Hay fever,Runny nose,Diarrhea,Bismuth subsalicylate
Heartburn,Acid reflux,Diarrhea,Muscle pain,Loperamide
Hay fever,Menstrual cramps,Diarrhea,Cough,Nasal spray (Flonase)
Cough,Nausea,Dry skin,Hay fever,Guaifenesin
Hangover,Toothache,Common cold,Cough,Aspirin
Heartburn,Common cold,Menstrual cramps,Insomnia,Lavender oil
Acid reflux,Diarrhea,Dizziness,Hangover,Antacid (Tums)
Muscle pain,Dry skin,Dry cough,Toothache,Ibuprofen
Sinus pressure,Heartburn,Dry skin,Fever,Petroleum jelly
Dry skin,Hangover,Runny nose,Dry cough,Honey
Sinus pressure,Dizziness,Cough,Hay fever,Pseudoephedrine
Fever,Runny nose,Menstrual cramps,Hay fever,Antihistamine (Claritin)
Cough,Headache,Allergic rash,Common cold,Antihistamine (Benadryl)
Headache,Dry skin,Dry cough,Dizziness,Aloe vera gel
Allergic rash,Nausea,Diarrhea,Dizziness,Antihistamine (Benadryl)
Allergic rash,Hay fever,Common cold,Toothache,Ibuprofen
Dry skin,Fever,Muscle pain,Nausea,Cold-EEZE
Insomnia,Fever,Acid reflux,Nausea,Diphenhydramine
Heartburn,Insomnia,Fever,Common cold,Guaifenesin
Common cold,Allergic rash,Nausea,Runny nose,Dimenhydrinate
Insomnia,Muscle pain,Diarrhea,Common cold,Bismuth subsalicylate
Dry cough,Allergic rash,Diarrhea,Runny nose,Antihistamine (Claritin)
Dry cough,Sinus pressure,Common cold,Heartburn,Proton Pump Inhibitor (Omeprazole)
Headache,Dry cough,Dry skin,Insomnia,Ibuprofen
Dry skin,Insomnia,Acid reflux,Nausea,Moisturizing lotion
Acid reflux,Menstrual cramps,Hangover,Runny nose,Aspirin
Nausea,Dizziness,Acid reflux,Headache,Antacid (Rolaids)
Common cold,Dizziness,Nausea,Muscle pain,Aspirin
Cough,Menstrual cramps,Dry cough,Diarrhea,Electrolyte solution (Pedialyte)
Heartburn,Allergic rash,Sinus pressure,Fever,Paracetamol
Heartburn,Dry cough,Diarrhea,Common cold,Antacid (Rolaids)
Diarrhea,Heartburn,Sinus pressure,Headache,Aspirin
Allergic rash,Nausea,Dry skin,Dizziness,Ginkgo biloba
Toothache,Dry cough,Fever,Common cold,Electrolyte solution (Pedialyte)
Toothache,Fever,Nausea,Insomnia,Ginger supplements
Dizziness,Heartburn,Menstrual cramps,Allergic rash,Ginkgo biloba
Cough,Dry skin,Headache,Muscle pain,Moisturizing lotion
Sinus pressure,Muscle pain,Dry cough,Dizziness,Guaifenesin
Runny nose,Hay fever,Menstrual cramps,Nausea,Loperamide
Runny nose,Allergic rash,Diarrhea,Dizziness,Calamine lotion
Hay fever,Cough,Menstrual cramps,Nausea,Antihistamine (Claritin)
Common cold,Menstrual cramps,Muscle pain,Heartburn,Aspirin
Dry skin,Fever,Menstrual cramps,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Menstrual cramps,Sinus pressure,Fever,Cough,Dextromethorphan
Toothache,Fever,Allergic rash,Cough,Antihistamine (Benadryl)
Diarrhea,Dry cough,Heartburn,Common cold,Antacid (Rolaids)
Fever,Nausea,Allergic rash,Acid reflux,Paracetamol
Allergic rash,Dry skin,Common cold,Cough,Cold-EEZE
Fever,Cough,Hay fever,Menstrual cramps,Ibuprofen
Common cold,Dry cough,Headache,Runny nose,Ibuprofen
Hangover,Allergic rash,Headache,Fever,Antihistamine (Benadryl)
Dizziness,Heartburn,Runny nose,Muscle pain,Ginkgo biloba
Nausea,Fever,Dizziness,Heartburn,Ginger supplements
Menstrual cramps,Muscle pain,Runny nose,Common cold,Nasal spray (Flonase)
Common cold,Dizziness,Insomnia,Dry cough,Dimenhydrinate
Hay fever,Heartburn,Dizziness,Sinus pressure,Pseudoephedrine
Menstrual cramps,Allergic rash,Insomnia,Muscle pain,Ibuprofen
Menstrual cramps,Insomnia,Common cold,Fever,Electrolyte solution (Pedialyte)
Hangover,Dry cough,Acid reflux,Allergic rash,Honey
Headache,Diarrhea,Dry skin,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Headache,Fever,Nausea,Dry cough,Honey
Dry cough,Fever,Hangover,Diarrhea,Dextromethorphan
Allergic rash,Diarrhea,Sinus pressure,Nausea,Electrolyte solution (Pedialyte)
Cough,Dizziness,Common cold,Headache,Aspirin
Dry cough,Dizziness,Headache,Allergic rash,Antihistamine (Claritin)
Sinus pressure,Acid reflux,Dizziness,Muscle pain,Electrolyte solution (Pedialyte)
Dry skin,Fever,Hangover,Muscle pain,Moisturizing lotion
Dizziness,Menstrual cramps,Dry cough,Common cold,Honey
Dizziness,Menstrual cramps,Diarrhea,Hay fever,Loratadine
Common cold,Hay fever,Menstrual cramps,Dry skin,Nasal spray (Flonase)
Nausea,Hay fever,Dry cough,Toothache,Cold-EEZE
Menstrual cramps,Allergic rash,Dry cough,Hangover,Ginger supplements
Allergic rash,Fever,Cough,Dry cough,Paracetamol
Fever,Diarrhea,Toothache,Heartburn,Probiotic
Nausea,Common cold,Fever,Muscle pain,Cold-EEZE
Insomnia,Fever,Dry cough,Menstrual cramps,Dextromethorphan
Sinus pressure,Cough,Allergic rash,Muscle pain,Ibuprofen
Nausea,Dry skin,Muscle pain,Hangover,Ginger supplements
Common cold,Cough,Insomnia,Dry cough,Cold-EEZE
Headache,Hay fever,Muscle pain,Menstrual cramps,Cold-EEZE
Insomnia,Allergic rash,Acid reflux,Toothache,Bismuth subsalicylate
Cough,Dizziness,Muscle pain,Toothache,Ginger supplements
Muscle pain,Dry skin,Common cold,Headache,Petroleum jelly
Runny nose,Toothache,Menstrual cramps,Dizziness,Ginkgo biloba
Nausea,Toothache,Hay fever,Dizziness,Aspirin
Dry skin,Toothache,Common cold,Insomnia,Ibuprofen
Cough,Insomnia,Menstrual cramps,Hangover,Guaifenesin
Fever,Allergic rash,Muscle pain,Nausea,Dimenhydrinate
Nausea,Sinus pressure,Muscle pain,Allergic rash,Pseudoephedrine
Toothache,Runny nose,Hay fever,Sinus pressure,Loratadine
Muscle pain,Insomnia,Headache,Sinus pressure,Paracetamol
Dry skin,Fever,Runny nose,Allergic rash,Hydrocortisone cream
Muscle pain,Diarrhea,Common cold,Acid reflux,Electrolyte solution (Pedialyte)
Cough,Sinus pressure,Runny nose,Allergic rash,Guaifenesin
Sinus pressure,Nausea,Acid reflux,Hangover,Antacid (Tums)
Headache,Dry cough,Cough,Nausea,Cold-EEZE
Dry cough,Sinus pressure,Runny nose,Heartburn,Honey
Heartburn,Nausea,Sinus pressure,Dizziness,Ginger supplements
Menstrual cramps,Common cold,Headache,Dry skin,Heating pad
Diarrhea,Menstrual cramps,Heartburn,Hay fever,Paracetamol
Fever,Runny nose,Hay fever,Allergic rash,Ibuprofen
Allergic rash,Menstrual cramps,Headache,Insomnia,Lavender oil
Toothache,Dizziness,Allergic rash,Dry skin,Ginger supplements
Menstrual cramps,Diarrhea,Insomnia,Allergic rash,Ibuprofen
Nausea,Common cold,Allergic rash,Diarrhea,Electrolyte solution (Pedialyte)
Heartburn,Fever,Dry cough,Allergic rash,Antihistamine (Claritin)
Hangover,Allergic rash,Acid reflux,Diarrhea,Proton Pump Inhibitor (Omeprazole)
Nausea,Hay fever,Cough,Muscle pain,Ginger supplements
Dry skin,Muscle pain,Cough,Fever,Cold-EEZE
Dry skin,Muscle pain,Hay fever,Hangover,Aspirin
Allergic rash,Diarrhea,Insomnia,Menstrual cramps,Probiotic
Toothache,Diarrhea,Acid reflux,Dry cough,Electrolyte solution (Pedialyte)
Cough,Allergic rash,Fever,Common cold,Pseudoephedrine
Heartburn,Acid reflux,Toothache,Diarrhea,Ibuprofen
Dry cough,Allergic rash,Dizziness,Hay fever,Guaifenesin
Cough,Dry cough,Hay fever,Diarrhea,Electrolyte solution (Pedialyte)
Runny nose,Acid reflux,Dizziness,Hay fever,Antihistamine (Benadryl)
Allergic rash,Muscle pain,Fever,Nausea,Ibuprofen
Nausea,Fever,Toothache,Hay fever,Orajel
Common cold,Toothache,Nausea,Menstrual cramps,Dimenhydrinate
Fever,Dry skin,Allergic rash,Dizziness,Dimenhydrinate
Sinus pressure,Allergic rash,Runny nose,Dizziness,Ginkgo biloba
Allergic rash,Insomnia,Runny nose,Fever,Valerian root
Headache,Muscle pain,Allergic rash,Cough,Hydrocortisone cream
Diarrhea,Dizziness,Heartburn,Runny nose,Antacid (Rolaids)
Dizziness,Fever,Diarrhea,Dry cough,Electrolyte solution (Pedialyte)
Hangover,Hay fever,Acid reflux,Sinus pressure,Saline nasal spray
Menstrual cramps,Acid reflux,Hangover,Headache,Cold-EEZE
Dizziness,Menstrual cramps,Hangover,Allergic rash,Aspirin
Runny nose,Allergic rash,Common cold,Hangover,Hydrocortisone cream
Common cold,Muscle pain,Hangover,Dry cough,Ginger supplements
Dry cough,Toothache,Dizziness,Insomnia,Melatonin
Cough,Hay fever,Diarrhea,Menstrual cramps,Loperamide
Muscle pain,Menstrual cramps,Heartburn,Allergic rash,Antihistamine (Claritin)
Diarrhea,Dry cough,Allergic rash,Muscle pain,Ibuprofen
Acid reflux,Insomnia,Muscle pain,Common cold,Paracetamol
Nausea,Dizziness,Muscle pain,Menstrual cramps,Heating pad
Dry skin,Insomnia,Toothache,Cough,Hydrocortisone cream
Toothache,Muscle pain,Hangover,Nausea,Loperamide
Toothache,Fever,Menstrual cramps,Headache,Aspirin
